grch37Isoform	grch37RefSeq	grch38Isoform	grch38RefSeq	entrezGeneId	hugoSymbol	oncogene	highestSensitiveLevel	highestResistanceLevel	summary	tsg	highestResistancLevel
ENST00000343455	NM_030621.3	ENST00000343455	NM_030621.3	23405	DICER1	FALSE			DICER1 is a tumor suppressor and an endoribonuclease. Germline mutations in DICER1 predispose to various cancer types, including pleuropulmonary blastoma, rhabdomyosarcoma, cystic nephroma, ovarian Sertoli-Leydig cell tumor and endocrine tumors.	TRUE	
ENST00000377767	NM_014953.3	ENST00000377767	NM_014953.3	22894	DIS3	FALSE			DIS3, the catalytic subunit of the RNA exosome complex, is recurrently mutated in several cancer types including multiple myeloma.	TRUE	
ENST00000373970	NM_012242.2	ENST00000373970	NM_012242.2	22943	DKK1	FALSE			DKK1, a negative regulator of WNT signaling, is overexpressed or downregulated in various cancer types.	FALSE	
ENST00000285311	NM_014421.2	ENST00000285311	NM_014421.2	27123	DKK2	FALSE			DKK2, a negative regulator of WNT signaling, is overexpressed or downregulated in various cancer types.	FALSE	
ENST00000326932	NM_001018057.1	ENST00000326932	NM_001018057.1	27122	DKK3	FALSE			DKK3, a negative regulator of WNT signaling, is overexpressed or downregulated in various cancer types.	FALSE	
ENST00000220812	NM_014420.2	ENST00000220812	NM_014420.2	27121	DKK4	FALSE			DKK4, a negative regulator of WNT signaling, is overexpressed or downregulated in various cancer types.	FALSE	
ENST00000254322	NM_006145.1	ENST00000254322	NM_006145.1	3337	DNAJB1	FALSE			DNAJB1, a subunit of the heat shock factor 40 (HSP40) complex, is recurrently altered by chromosomal rearrangement in fibrolamellar hepatocellular carcinoma.	FALSE	
ENST00000340748	NM_001379.2	ENST00000340748	NM_001379.2	1786	DNMT1	TRUE			DNMT1, a DNA methyltransferase, is infrequently altered in various cancer types.	FALSE	
ENST00000264709	NM_022552.4	ENST00000264709	NM_022552.4	1788	DNMT3A	FALSE			DNMT3A, a tumor suppressor and DNA methyltransferase, is recurrently mutated in acute myeloid leukemia and other hematologic malignancies	TRUE	
ENST00000328111	NM_006892.3	ENST00000328111	NM_006892.3	1789	DNMT3B	FALSE			DNMT3B, a DNA methyltransferase, is altered by mutation or amplification in various cancer types.	TRUE	
ENST00000398665	NM_032482.2	ENST00000398665	NM_032482.2	84444	DOT1L	TRUE			DOT1L, a histone methyltransferase, is infrequently mutated in various cancer types.	FALSE	
ENST00000344624	NM_013235.4	ENST00000344624	NM_013235.4	29102	DROSHA	FALSE			DROSHA, a ribonuclease involved in microRNA biogenesis, is mutated or amplified at low frequencies in various cancers.	FALSE	
ENST00000257600	NM_004416.2	ENST00000257600	NM_004416.2	1840	DTX1	FALSE			DTX1, a ubiquitin E3 ligase and transcriptional regulator, is recurrently altered by mutation in lymphomas.	TRUE	
ENST00000344450	NM_020185.4	ENST00000344450	NM_020185.4	56940	DUSP22	FALSE			DUSP22, a protein phosphatase, is recurrently altered by chromosomal rearrangement in anaplastic large cell lymphoma.	TRUE	
ENST00000240100	NM_001394.6	ENST00000240100	NM_001394.6	1846	DUSP4	FALSE			DUSP4, a protein phosphatase, is deleted in a small subset of prostate and lung cancers.	TRUE	
ENST00000346618	NM_001949.4	ENST00000346618	NM_001949.4	1871	E2F3	TRUE			E2F3, a transcription factor that regulates the cell cycle, is altered by amplification and overexpression in a variety of cancer types.	FALSE	
ENST00000367682	NM_001077706.2	ENST00000367682	NM_001077706.2	345930	ECT2L	FALSE			ECT2L, a protein of unknown function, is altered by mutation in T-cell precursor lymphoblastic leukemia.	TRUE	
ENST00000263360	NM_003797.3	ENST00000263360	NM_003797.3	8726	EED	FALSE			EED, a transcriptional repressor, is altered in malignant peripheral nerve sheath tumors and hematologic malignancies.	TRUE	
ENST00000308874	NM_201446.2	ENST00000308874	NM_201446.2	51162	EGFL7	TRUE			EGFL7, a secreted pro-angiogenic factor, is infrequently mutated in various cancer types.	FALSE	
ENST00000275493	NM_005228.3	ENST00000275493	NM_005228.3	1956	EGFR	TRUE	1	R2	EGFR, a receptor tyrosine kinase, is altered by amplification and/or mutation in lung and brain cancers among others.	FALSE	R2
ENST00000239938	NM_001964.2	ENST00000239938	NM_001964.2	1958	EGR1	FALSE			EGR1, a transcription factor, is recurrently altered by mutation in lymphomas.	TRUE	
ENST00000379607	NM_001412.3	ENST00000379607	NM_001412.3	1964	EIF1AX	FALSE			EIF1AX, a translation initiation factor, is most frequently altered by mutation in uveal melanomas and papillary thyroid carcinomas.	FALSE	
ENST00000323963	NM_001967.3	ENST00000323963	NM_001967.3	1974	EIF4A2	TRUE			EIF4A2, a translation initiation factor, is infrequently altered in cancer.	FALSE	
ENST00000280892	NM_001130678.1	ENST00000280892	NM_001130678.1	1977	EIF4E	TRUE			EIF4E, a translation initiation factor, is overexpressed in various cancer types.	FALSE	
ENST00000359651	NM_004433.4	ENST00000359651	NM_004433.4	1999	ELF3	TRUE			ELF3, a transcriptional activator, is altered by mutation or amplification in various cancer types.	TRUE	
ENST00000286523	NM_001043318.2	ENST00000286523	NM_001043318.2	91748	ELMSAN1	FALSE			ELMSAN1, a chromatin-associated protein that mediates histone deaceylation, is recurrently altered by mutation in a variety of cancers.	TRUE	
ENST00000284811	NM_005648.3	ENST00000284811	NM_005648.3	6921	ELOC	FALSE			ELOC encodes a protein that is a component of the VHL ubiquitination complex. A hotspot mutation of ELOC is associated with a distinct subtype of renal cell carcinoma.	FALSE	
ENST00000263253	NM_001429.3	ENST00000263253	NM_001429.3	2033	EP300	FALSE			EP300, a tumor suppressor and histone acetyltransferase, is inactivated in various cancer types.	TRUE	
ENST00000389561	NM_015409.3	ENST00000389561	NM_015409.3	57634	EP400	FALSE			EP400, a chromatin remodeling protein, is infrequently altered by mutation in bladder cancer and lymphomas.	TRUE	
ENST00000263734	NM_001430.4	ENST00000263734	NM_001430.4	2034	EPAS1	FALSE			EPAS1, a hypoxia-related transcription factor, is mutated or amplified in a small subset of human cancers.	FALSE	
ENST00000263735	NM_002354.2	ENST00000263735	NM_002354.2	4072	EPCAM	FALSE			EPCAM, a transmembrane glycoprotein, is overexpressed in various cancer types.	TRUE	
ENST00000336596	NM_005233.5	ENST00000336596	NM_005233.5	2042	EPHA3	FALSE			EPHA3, a receptor tyrosine kinase, is altered in various cancer types including skin and lung cancers.	TRUE	
ENST00000273854	NM_004439.5	ENST00000273854	NM_004439.5	2044	EPHA5	FALSE			EPHA5, a receptor tyrosine kinase, is altered in various cancer types including skin and lung cancers.	FALSE	
ENST00000369303	NM_004440.3	ENST00000369303	NM_004440.3	2045	EPHA7	TRUE			EPHA7, a receptor tyrosine kinase, is altered by mutation or deletion in various cancer types, most frequently in skin cancers.	TRUE	
ENST00000398015	NM_004441.4	ENST00000398015	NM_004441.4	2047	EPHB1	FALSE			EPHB1, a receptor tyrosine kinase, is altered by mutation in various cancer types.	TRUE	
ENST00000222139	NM_000121.3	ENST00000222139	NM_000121.3	2057	EPOR	TRUE			EPOR, a cytokine receptor, is recurrently altered by chromosomal rearrangement in familial erythrocytosis and acute lymphoblastic leukemia.	FALSE	
ENST00000269571	NM_004448.2	ENST00000269571	NM_004448.2	2064	ERBB2	TRUE	1		ERBB2, a receptor tyrosine kinase, is altered by mutation, amplification and/or overexpression in various cancer types, most frequently in breast, esophagogastric and endometrial cancers.	FALSE	
ENST00000267101	NM_001982.3	ENST00000267101	NM_001982.3	2065	ERBB3	TRUE			ERBB3, a receptor tyrosine kinase, is altered by mutation or amplification in various cancer types.	FALSE	
ENST00000342788	NM_005235.2	ENST00000342788	NM_005235.2	2066	ERBB4	TRUE			ERBB4, a receptor tyrosine kinase, is altered at low to moderate frequencies in various cancer types, most frequently in melanoma and lung cancer.	FALSE	
ENST00000391945	NM_000400.3	ENST00000391945	NM_000400.3	2068	ERCC2	FALSE	3A		ERCC2, a DNA helicase involved in the nucleotide excision repair (NER) pathway, is frequently altered in bladder cancer. Germline mutations of ERCC2 are associated with xeroderma pigmentosum, trichothiodystrophy and Cockayne syndrome, and predispose to certain cancers.	TRUE	
ENST00000285398	NM_000122.1	ENST00000285398	NM_000122.1	2071	ERCC3	FALSE			ERCC3, a tumor suppressor and helicase involved in DNA repair, is infrequently altered in cancer. Germline mutations of ERCC3 are associated with Cockayne's syndrome, xeroderma pigmentosum and trichothiodystrophy, and may predispose to breast cancer.	TRUE	
ENST00000311895	NM_005236.2	ENST00000311895	NM_005236.2	2072	ERCC4	FALSE			ERCC4, a tumor suppressor and endonuclease involved in DNA repair, is infrequently altered in cancer. Germline mutations of ERCC4 are associated with Fanconi anemia, Cockayne syndrome and xeroderma pigmentosum, and predispose to certain cancers.	TRUE	
ENST00000355739	NM_000123.3	ENST00000652225	NM_000123.4	2073	ERCC5	FALSE			ERCC5 is a tumor suppressor and an endonuclease involved in DNA repair. Germline mutations of ERCC5 are associated with xeroderma pigmentosum and Cockayne's syndrome, which predispose to certain cancers.	TRUE	
ENST00000222329	NM_006494.2	ENST00000222329	NM_006494.2	2077	ERF	FALSE			ERF, a transcriptional repressor, is altered by mutation at low frequencies in various cancers.	TRUE	
ENST00000288319	NM_182918.3	ENST00000288319	NM_182918.3	2078	ERG	TRUE			ERG, a transcription factor, is recurrently altered by chromosomal rearrangement in prostate cancer.	FALSE	
ENST00000377482	NM_018948.3	ENST00000377482	NM_018948.3	54206	ERRFI1	FALSE			ERRFI1, a scaffold protein involved in negative regulation of ERBB receptors, is recurrently altered by mutation and deletion in various cancer types.	TRUE	
ENST00000305188	NM_001017420.2	ENST00000305188	NM_001017420.2	157570	ESCO2	FALSE			ESCO2, an enzyme required for sister chromatid pairing, is infrequently altered in a diverse range of cancers.	TRUE	
ENST00000206249	NM_001122740.1	ENST00000206249	NM_001122740.1	2099	ESR1	TRUE	3A		ESR1 (estrogen receptor alpha) is a transcription factor that is frequently mutated in hormone-resistant metastatic breast cancers.	FALSE	
ENST00000272342	NM_019002.3	ENST00000272342	NM_019002.3	54465	ETAA1	FALSE			ETAA1, a replication stress response protein, is infrequently mutated in human cancers.	TRUE	
ENST00000266517	NM_018638.4	ENST00000671733	NM_018638.4	55500	ETNK1	FALSE			ETNK1, a kinase involved in phospholipid biosynthesis, is recurrently altered by mutation in BCR-ABL negative CML and CMML.	FALSE	
ENST00000405192	NM_001163147.1	ENST00000405192	NM_001163147.1	2115	ETV1	TRUE			ETV1, a transcription factor, is altered by chromosomal rearrangement or overexpression in various cancer types.	FALSE	
ENST00000319349	NM_001079675.2	ENST00000319349	NM_001079675.2	2118	ETV4	TRUE			ETV4, a transcription factor, is frequently altered by chromosomal rearrangement in prostate cancer and Ewing's sarcoma.	FALSE	
ENST00000306376	NM_004454.2	ENST00000306376	NM_004454.2	2119	ETV5	TRUE			ETV5, a transcription factor, is rarely altered by chromosomal rearrangement in prostate cancer.	FALSE	
ENST00000396373	NM_001987.4	ENST00000396373	NM_001987.4	2120	ETV6	FALSE			ETV6, a transcription factor, is frequently altered by chromosomal rearrangement in hematologic malignancies.	TRUE	
ENST00000397938	NM_005243.3	ENST00000397938	NM_005243.3	2130	EWSR1	TRUE			EWSR1, a multi-functional protein that binds DNA and RNA, is altered by chromosomal rearrangement in various cancer types, most frequently in Ewing Sarcoma.	FALSE	
ENST00000428826	NM_001991.3	ENST00000428826	NM_001991.3	2145	EZH1	TRUE			EZH1, an epigenetic modifier, is altered by mutation or amplification in various tumors.	FALSE	
ENST00000320356	NM_004456.4	ENST00000320356	NM_004456.4	2146	EZH2	TRUE	1		EZH2, an epigenetic modifier, is altered by mutation and/or overexpression in solid tumors and hematologic malignancies.	TRUE	
ENST00000389301	NM_000135.2	ENST00000389301	NM_000135.2	2175	FANCA	FALSE			FANCA is a tumor suppressor and DNA repair protein. Germline mutations of FANCA are associated with the cancer predisposition syndrome Fanconi Anemia.	TRUE	
ENST00000289081	NM_000136.2	ENST00000289081	NM_000136.2	2176	FANCC	FALSE			FANCC, a tumor suppressor and DNA repair protein, is infrequently altered in cancer. Germline mutations of FANCC are associated with the cancer predisposition syndrome Fanconi Anemia.	TRUE	
ENST00000383807	NM_001018115.1	ENST00000383807	NM_001018115.1	2177	FANCD2	FALSE			FANCD2, a tumor suppressor and DNA repair protein, is infrequently altered in cancer. Germline mutations of FANCD2 are associated with the cancer predisposition syndrome Fanconi Anemia.	TRUE	
ENST00000233741	NM_018062.3	ENST00000233741	NM_018062.3	55120	FANCL	FALSE	1		FANCL, an E3 ubiquitin ligase involved in DNA repair, is infrequently altered in cancer. Germline mutations of FANCL are associated with the cancer predisposition syndrome Fanconi Anemia.	TRUE	
ENST00000355740	NM_000043.4	ENST00000652046	NM_000043.6	355	FAS	FALSE			FAS, a death receptor that initiates apoptosis, is recurrently altered by mutation or downregulation in a diverse range of human cancers.	TRUE	
ENST00000441802	NM_005245.3	ENST00000441802	NM_005245.3	2195	FAT1	FALSE			FAT1, a tumor suppressor and transmembrane protein, is inactivated by mutation or deletion in various cancer types.	TRUE	
ENST00000403359	NM_001190274.1	ENST00000403359	NM_001190274.1	80204	FBXO11	FALSE			FBXO11, a component of the SCF ubiquitin ligase complex, is recurrently altered by mutation in lymphomas.	TRUE	
ENST00000281708	NM_033632.3	ENST00000281708	NM_033632.3	55294	FBXW7	FALSE			FBXW7, a tumor suppressor involved in protein degradation, is inactivated by mutation in various cancer types, most frequently in endometrial and colorectal cancers.	TRUE	
ENST00000295727	NM_017521.2	ENST00000295727	NM_017521.2	54738	FEV	FALSE			FEV, an ETS family transcription factor, is infrequently mutated by chromosomal rearrangement in Ewing's Sarcoma.	FALSE	
ENST00000294312	NM_005117.2	ENST00000294312	NM_005117.2	9965	FGF19	TRUE			FGF19, a fibroblast growth factor, is altered by amplification in various cancer types.	FALSE	
ENST00000334134	NM_005247.2	ENST00000334134	NM_005247.2	2248	FGF3	TRUE			FGF3, a fibroblast growth factor, is altered by amplification in various cancer types.	FALSE	
ENST00000168712	NM_002007.2	ENST00000168712	NM_002007.2	2249	FGF4	TRUE			FGF4, an oncogenic growth factor, is amplified in a diverse range of cancers, most frequently in breast and head and neck cancers.	FALSE	
ENST00000425967	NM_001174067.1	ENST00000425967	NM_001174067.1	2260	FGFR1	TRUE	3A		FGFR1, a receptor tyrosine kinase, is altered by mutation, chromosomal rearrangement or amplification in various cancer types including lung and breast cancers.	FALSE	
ENST00000358487	NM_000141.4	ENST00000358487	NM_000141.4	2263	FGFR2	TRUE	1		FGFR2, a receptor tyrosine kinase, is altered by mutation, chromosomal rearrangement or amplification in various cancer types.	FALSE	
ENST00000260795	NM_000142.4	ENST00000440486	NM_000142.4	2261	FGFR3	TRUE	1		FGFR3, a receptor tyrosine kinase, is altered by mutation, chromosomal rearrangement or amplification in various cancers, most frequently in bladder cancer.	FALSE	
ENST00000292408	NM_213647.1	ENST00000292408	NM_213647.1	2264	FGFR4	TRUE			FGFR4, a receptor tyrosine kinase, is altered by mutation, chromosomal rearrangement or amplification at low frequencies in various cancer types.	FALSE	
ENST00000366560	NM_000143.3	ENST00000366560	NM_000143.3	2271	FH	FALSE			FH is a tumor suppressor and an enzyme that converts fumurate to malate. Germline mutations of FH are associated with hereditary leiomyomatosis and renal cell cancer.	TRUE	
ENST00000285071	NM_144997.5	ENST00000285071	NM_144997.5	201163	FLCN	FALSE			FLCN is a tumor suppressor and GTPase activating protein. Germline mutations of FLCN are associated with Birt-Hogg-Dubé syndrome and predispose to renal cell carcinomas.	TRUE	
ENST00000527786	NM_002017.4	ENST00000527786	NM_002017.4	2313	FLI1	TRUE	4		FLI1, a transcription factor of the ETS protein family, is frequently altered by chromosomal rearrangement in Ewing's Sarcoma.	FALSE	
ENST00000282397	NM_002019.4	ENST00000282397	NM_002019.4	2321	FLT1	TRUE			FLT1, a receptor tyrosine kinase involved in cell survival and tumor angiogenesis, is infrequently altered in cancer.	FALSE	
ENST00000241453	NM_004119.2	ENST00000241453	NM_004119.2	2322	FLT3	TRUE	1		FLT3, a receptor tyrosine kinase, is recurrently altered in acute myeloid leukemia and other hematologic malignancies.	FALSE	
ENST00000261937	NM_182925.4	ENST00000261937	NM_182925.4	2324	FLT4	TRUE			FLT4, a receptor tyrosine kinase, is infrequently altered by mutation in a variety of cancer types.	FALSE	
ENST00000250448	NM_004496.3	ENST00000250448	NM_004496.3	3169	FOXA1	TRUE			FOXA1, a transcription factor, is recurrently altered in prostate and breast cancers.	TRUE	
ENST00000262426	NM_001451.2	ENST00000262426	NM_001451.2	2294	FOXF1	TRUE			FOXF1, a transcription factor, is infrequently altered by mutation in various cancer types.	TRUE	
ENST00000330315	NM_023067.3	ENST00000648323	NM_023067.3	668	FOXL2	TRUE			FOXL2, a transcription factor, is recurrently mutated in adult granulosa cell tumors.	TRUE	
ENST00000379561	NM_002015.3	ENST00000379561	NM_002015.3	2308	FOXO1	FALSE			FOXO1, a transcription factor, is recurrently altered by mutation in hematologic malignancies and by deletion in prostate cancer.	TRUE	
ENST00000318789	NM_001244814.1	ENST00000318789	NM_001244814.1	27086	FOXP1	TRUE			FOXP1, a transcription factor, is infrequently altered by translocation in lymphomas.	TRUE	
ENST00000370768	NM_003902.3	ENST00000370768	NM_003902.3	8880	FUBP1	FALSE			FUBP1, a tumor suppressor and single-stranded DNA binding protein, is recurrently inactivated by mutation or deletion in glioma.	TRUE	
ENST00000268171	NM_001289823.1	ENST00000268171	NM_001289823.1	5045	FURIN	TRUE			FURIN, a protease involved in precursor protein cleavage, is infrequently altered in a diverse range of cancers.	FALSE	
ENST00000368678	NM_153047.3	ENST00000368678	NM_153047.3	2534	FYN	TRUE			FYN, a receptor tyrosine kinase, is altered by mutation in a variety of cancer types including hematologic malignancies and cholangiocarcinomas.	FALSE	
ENST00000262994	NM_002039.3	ENST00000262994	NM_002039.3	2549	GAB1	TRUE			GAB1, a signaling adaptor molecule, is altered by mutation in various cancer types including breast cancer.	FALSE	
ENST00000361507	NM_080491.2	ENST00000361507	NM_080491.2	9846	GAB2	TRUE			GAB2, a signaling adaptor molecule, is altered by amplification and overexpression in various cancer types.	FALSE	
ENST00000376670	NM_002049.3	ENST00000376670	NM_002049.3	2623	GATA1	FALSE			GATA1, a transcription factor involved in red blood cell and platelet development, is altered in several hematologic malignancies including transient leukemia and acute megakaryoblastic leukemia.	FALSE	
ENST00000341105	NM_032638.4	ENST00000341105	NM_032638.4	2624	GATA2	TRUE			GATA2 is a transcription factor involved in red blood cell and platelet development. Germline mutations of GATA2 are associated with Emberger and MonoMAC syndromes and predispose to leukemias.	FALSE	
ENST00000346208	NM_002051.2	ENST00000346208	NM_002051.2	2625	GATA3	TRUE			GATA3, a transcription factor, is altered by mutation or amplification in various cancers, most frequently in breast cancer.	TRUE	
ENST00000228682	NM_005269.2	ENST00000228682	NM_005269.2	2735	GLI1	TRUE			GLI1, a transcription factor, is altered by mutation, amplification or overexpression in various cancer types.	FALSE	
ENST00000078429	NM_002067.2	ENST00000078429	NM_002067.2	2767	GNA11	TRUE			GNA11, a G protein subunit, is recurrently mutated in uveal melanoma.	FALSE	
ENST00000275364	NM_007353.2	ENST00000275364	NM_007353.2	2768	GNA12	TRUE			GNA12, a guanine nucleotide exchange protein, is infrequently altered across various cancer types.	FALSE	
ENST00000439174	NM_006572.5	ENST00000439174	NM_006572.5	10672	GNA13	TRUE			GNA13, a guanine nucleotide exchange protein, is recurrently altered by mutation in lymphomas.	FALSE	
ENST00000286548	NM_002072.3	ENST00000286548	NM_002072.3	2776	GNAQ	TRUE			GNAQ, a G protein subunit, is recurrently mutated in uveal melanoma.	FALSE	
ENST00000371085	NM_000516.4	ENST00000371085	NM_000516.4	2778	GNAS	TRUE			GNAS, an intracellular signaling protein, is mutated in various cancers.	FALSE	
ENST00000378609	NM_001282539.1	ENST00000378609	NM_001282539.1	2782	GNB1	TRUE			GNB1, a guanine nucleotide binding protein, is recurrently altered by mutation in myelodysplastic syndromes and acute myeloid leukemia.	FALSE	
ENST00000380728	NM_004489.4	ENST00000380728	NM_004489.4	2874	GPS2	FALSE			GPS2, a transcriptional cofactor involved in MAPK signaling, is altered by mutation and translocation in a variety of cancer types including medulloblastoma and glioblastoma.	TRUE	
ENST00000300177	NM_013372.6	ENST00000300177	NM_013372.6	26585	GREM1	TRUE			GREM1 includes a BMP antagonist that binds to BMP ligands. It is over-expressed in various tumor types, and a duplication in the upstream region is associated with colon cancer predisposition.	FALSE	
ENST00000330684	NM_001134407.1	ENST00000330684	NM_001134407.1	2903	GRIN2A	FALSE			GRIN2A, a subunit of the NMDA glutamate receptor, is recurrently altered by mutation in various cancer types, most frequently in melanoma.	TRUE	
ENST00000316626	NM_002093.3	ENST00000316626	NM_002093.3	2932	GSK3B	TRUE			GSK3B, an intracellular kinase, is overexpressed in various cancer types including ovarian, colon and liver cancers.	FALSE	
ENST00000324896	NM_032999.3	ENST00000573035	NM_032999.3	2969	GTF2I	TRUE			GTF2I, a transcription factor, is recurrently altered by mutation in thymic tumors and lymphomas.	FALSE	
ENST00000343677	NM_005319.3	ENST00000343677	NM_005319.3	3006	H1-2	FALSE			H1-2, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000289316	NM_021063.3	ENST00000289316	NM_021063.3	3017	H2BC5	FALSE			The H2BC5 gene encodes a histone H2B variant.	FALSE	
ENST00000366813	NM_002107.4	ENST00000366815	NM_002107.4	3020	H3-3A	TRUE			H3-3A, a histone variant, is recurrently altered by mutation in various pediatric cancers including pediatric glioblastoma.	FALSE	
ENST00000254810	NM_005324.3	ENST00000254810	NM_005324.3	3021	H3-3B	FALSE			H3-3B, a histone variant, is recurrently altered by mutation in chondroblastomas.	FALSE	
ENST00000366696	NM_003493.2	ENST00000366696	NM_003493.2	8290	H3-4	FALSE			H3-4, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000340398	NM_001013699.2	ENST00000340398	NM_001013699.2	440093	H3-5	FALSE			H3-5, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000357647	NM_003529.2	ENST00000356476	NM_003529.2	8350	H3C1	FALSE			The H3C1 gene encodes H3.1, an H3 histone variant.	FALSE	
ENST00000369163	NM_003536.2	ENST00000369163	NM_003536.2	8357	H3C10	FALSE			H3C10, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000328488	NM_003533.2	ENST00000616365	NM_003533.2	8354	H3C11	FALSE			H3C11, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000359303	NM_003535.2	ENST00000359303	NM_003535.2	8356	H3C12	FALSE			H3C12, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000331491	NM_001123375.2	ENST00000331491	NM_001123375.2	653604	H3C13	FALSE			H3C13, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000369158	NM_021059.2	ENST00000369158	NM_021059.2	126961	H3C14	FALSE			H3C14, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000244661	NM_003537.3	ENST00000621411	NM_003537.3	8358	H3C2	FALSE			The H3C2 gene encodes H3.1, an H3 histone variant.	FALSE	
ENST00000540144	NM_003531.2	ENST00000612966	NM_003531.2	8352	H3C3	FALSE			H3C3, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000356476	NM_003530.4	ENST00000356476	NM_003530.4	8351	H3C4	FALSE			H3C4, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000360408	NM_003532.2	ENST00000634733	NM_003532.2	8353	H3C6	FALSE			H3C6, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000446824	NM_021018.2	ENST00000618052	NM_021018.2	8968	H3C7	FALSE			H3C7, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000305910	NM_003534.2	ENST00000614378	NM_003534.2	8355	H3C8	FALSE			H3C8, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000316450	NA	ENST00000369387		440926	H3F3AP4	FALSE			H3F3AP4, a histone variant pseudogene, is infrequently altered by amplification in various cancer types.	FALSE	
ENST00000373548	NM_004964.2	ENST00000373548	NM_004964.2	3065	HDAC1	TRUE			HDAC1, a histone deacetylase, is infrequently altered by mutation in liposarcoma.	FALSE	
ENST00000345617	NM_006037.3	ENST00000345617	NM_006037.3	9759	HDAC4	TRUE			HDAC4, a histone deacetylase, is infrequently altered by deletion and mutation in a diverse range of cancers.	TRUE	
ENST00000427332	XM_011538481.1	ENST00000427332	XM_011538481.1	51564	HDAC7	TRUE			HDAC7, a histone deacetylase, is infrequently altered by mutation in a diverse range of human cancers.	FALSE	
ENST00000222390	NM_000601.4	ENST00000222390	NM_000601.4	3082	HGF	TRUE			HGF encodes the natural ligand of the tyrosine kinase MET. Aberrant HGF expression with increased MET signaling has been described in various tumor types and results in increased cell survival, motility and metastasis.	FALSE	
ENST00000337138	NM_001530.3	ENST00000337138	NM_001530.3	3091	HIF1A	TRUE			HIF1A, an oxygen-regulated transcription factor, is infrequently mutated in human cancers.	FALSE	
ENST00000331442	NM_005322.2	ENST00000331442	NM_005322.2	3009	HIST1H1B	FALSE			HIST1H1B, an H1 histone linker protein, is infrequently altered by mutation in various human cancers.	TRUE	
ENST00000244534	NM_005320.2	ENST00000244534	NM_005320.2	3007	HIST1H1D	FALSE			HIST1H1D, a histone H1 linker protein, is infrequently altered by mutation in a diverse range of cancers.	TRUE	
ENST00000304218	NM_005321.2	ENST00000304218	NM_005321.2	3008	HIST1H1E	TRUE			HIST1H1E, a histone H1 linker protein, is infrequently altered by mutation in a diverse range of cancers.	FALSE	
ENST00000314088	NM_003512.3	ENST00000314088	NM_003512.3	8334	HIST1H2AC	FALSE			HIST1H2AC, an H2A histone variant, is infrequently altered by mutation in a diverse range of cancers.	FALSE	
ENST00000358739	NM_003509.2	ENST00000358739	NM_003509.2	8969	HIST1H2AG	FALSE			HIST1H2AG, a canonical histone H2A protein, is infrequently mutated by amplification and mutation in a diverse range of cancers.	FALSE	
ENST00000357320	NM_003511	ENST00000613174	NM_003511.3	8332	HIST1H2AL	FALSE			HIST1H2AL, a canonical histone H2A protein, is infrequently mutated by amplification and mutation in a diverse range of cancers.	FALSE	
ENST00000359611	NM_003514	ENST00000359611	NM_003514	8336	HIST1H2AM	TRUE			HIST1H2AM, a canonical histone H2A protein, is infrequently mutated by amplification and mutation in a diverse range of cancers.	FALSE	
ENST00000314332	NM_003518.3	ENST00000314332	NM_003518.3	8347	HIST1H2BC	FALSE			HIST1H2BC, a canonical histone H2B protein, is infrequently mutated by amplification and mutation in a diverse range of cancers.	FALSE	
ENST00000244601	NM_003518	ENST00000541790	NM_003518.3	8339	HIST1H2BG	FALSE			HIST1H2BG, a canonical histone H2B protein, is infrequently mutated by amplification and mutation in a diverse range of cancers.	FALSE	
ENST00000339812	NM_021058.3	ENST00000339812	NM_021058.3	8970	HIST1H2BJ	FALSE			HIST1H2BJ, a canonical histone H2B protein, is infrequently mutated by amplification and mutation in a diverse range of cancers.	FALSE	
ENST00000356950	NM_080593.2	ENST00000356950	NM_080593.2	85236	HIST1H2BK	FALSE			HIST1H2BK, a canonical histone H2B protein, is infrequently mutated by amplification and mutation in a diverse range of cancers.	FALSE	
ENST00000616182	NM_003527.4	ENST00000616182	NM_003527.4	8348	HIST1H2BO	FALSE			HIST1H2BO, a canonical histone H2B protein, is infrequently mutated by amplification and mutation in a diverse range of cancers.	FALSE	
ENST00000331491	NM_001005464.2	ENST00000331491	NM_001005464.2	333932	HIST2H3A	FALSE			HIST2H3A, a histone variant, is infrequently altered by mutation in various cancer types.	FALSE	
ENST00000376809	NM_001242758.1	ENST00000376809	NM_001242758.1	3105	HLA-A	FALSE			HLA-A, an MHC class I component involved in the presentation of antigens to the immune system, is infrequently altered in cancer.	TRUE	
